ELECTRONIC ENERGY = -5.4025e+06    KJ/MOL
CELL VOLUME =    754.292434    A^3, =  454.245464  CM^3/MOL
LATTICE PARAMETERS
           A           B           C       ALPHA        BETA       GAMMA
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #    6

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #    7

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #    8

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #    9

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   10

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   11

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   12

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   13

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   14

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   15

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   16

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   17

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   18

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   19

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   20

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   21

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   22

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   23

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   24

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
 60.00      1.763590e+03      1.127657e-01      1.817624e-01     -5.400701e+06
 90.00      1.770243e+03      2.016443e-01      2.574682e-01     -5.400705e+06
120.00      1.778895e+03      2.841943e-01      3.181906e-01     -5.400713e+06
150.00      1.789303e+03      3.613753e-01      3.755652e-01     -5.400722e+06
180.00      1.801431e+03      4.349219e-01      4.330963e-01     -5.400734e+06
210.00      1.815298e+03      5.060623e-01      4.915599e-01     -5.400748e+06
240.00      1.830932e+03      5.755607e-01      5.507728e-01     -5.400765e+06
270.00      1.848347e+03      6.438643e-01      6.101974e-01     -5.400783e+06
300.00      1.867540e+03      7.112147e-01      6.691857e-01     -5.400803e+06

HARMONIC THERMODYNAMICS AT QPOINT #   25

  ZERO POINT ENERGY =1.759106e+03  KJ/MOL

  T(K)     U_VIB(KJ/MOL) ENTROPY(KJ/MOL*K)     C_V(KJ/MOL*K) HELMHOLTZ(KJ/MOL)
  0.00      1.759106e+03      0.000000e+00      0.000000e+00     -5.400698e+06
 30.00      1.759729e+03      2.809925e-02      6.869992e-02     -5.400699e+06
